frame.number	frame.time	tcp.analysis.ack_rtt
498	May 19, 2016 13:16:52.516995000	0.005294000
499	May 19, 2016 13:16:52.518764000	0.006870000
500	May 19, 2016 13:16:52.518887000	0.006936000
501	May 19, 2016 13:16:52.518882000	
502	May 19, 2016 13:16:52.518957000	0.006838000
503	May 19, 2016 13:16:52.518959000	0.005859000
504	May 19, 2016 13:16:52.518960000	0.005829000
505	May 19, 2016 13:16:52.518961000	0.005647000
506	May 19, 2016 13:16:52.523797000	
507	May 19, 2016 13:16:52.524250000	0.005368000
508	May 19, 2016 13:16:52.527358000	
509	May 19, 2016 13:16:52.527594000	
510	May 19, 2016 13:16:52.527745000	
511	May 19, 2016 13:16:52.527746000	
512	May 19, 2016 13:16:52.528054000	
513	May 19, 2016 13:16:52.528285000	
514	May 19, 2016 13:16:52.529709000	0.005912000
515	May 19, 2016 13:16:52.532961000	0.005603000
516	May 19, 2016 13:16:52.532966000	0.005372000
517	May 19, 2016 13:16:52.532967000	0.005221000
518	May 19, 2016 13:16:52.533098000	0.005044000
519	May 19, 2016 13:16:52.533814000	0.005529000
520	May 19, 2016 13:16:52.533813000	
521	May 19, 2016 13:16:52.533913000	
522	May 19, 2016 13:16:52.533944000	
523	May 19, 2016 13:16:52.538998000	0.005185000
524	May 19, 2016 13:16:52.539033000	0.005120000
525	May 19, 2016 13:16:52.539046000	0.005102000
526	May 19, 2016 13:16:52.540794000	
527	May 19, 2016 13:16:52.540839000	
528	May 19, 2016 13:16:52.543910000	
529	May 19, 2016 13:16:52.544103000	
530	May 19, 2016 13:16:52.544232000	
531	May 19, 2016 13:16:52.544233000	
532	May 19, 2016 13:16:52.544390000	
533	May 19, 2016 13:16:52.544549000	
534	May 19, 2016 13:16:52.544627000	
535	May 19, 2016 13:16:52.544730000	
536	May 19, 2016 13:16:52.546043000	0.005249000
537	May 19, 2016 13:16:52.546357000	
538	May 19, 2016 13:16:52.546476000	
539	May 19, 2016 13:16:52.547994000	
540	May 19, 2016 13:16:52.548062000	
541	May 19, 2016 13:16:52.549714000	0.005804000
542	May 19, 2016 13:16:52.549871000	0.005768000
543	May 19, 2016 13:16:52.550031000	0.005799000
544	May 19, 2016 13:16:52.550034000	0.005801000
545	May 19, 2016 13:16:52.550035000	0.005645000
546	May 19, 2016 13:16:52.550036000	0.005487000
547	May 19, 2016 13:16:52.550038000	0.005411000
548	May 19, 2016 13:16:52.550039000	0.005309000
549	May 19, 2016 13:16:52.551812000	0.005455000
550	May 19, 2016 13:16:52.551812000	0.005336000
551	May 19, 2016 13:16:52.553240000	0.005178000
552	May 19, 2016 13:16:52.553227000	
553	May 19, 2016 13:16:52.557800000	
554	May 19, 2016 13:16:52.559052000	0.005825000
555	May 19, 2016 13:16:52.560875000	
556	May 19, 2016 13:16:52.560876000	
557	May 19, 2016 13:16:52.561083000	
558	May 19, 2016 13:16:52.561131000	
559	May 19, 2016 13:16:52.562025000	
560	May 19, 2016 13:16:52.563713000	0.005913000
561	May 19, 2016 13:16:52.564700000	
562	May 19, 2016 13:16:52.564700000	
563	May 19, 2016 13:16:52.565009000	
564	May 19, 2016 13:16:52.566224000	
565	May 19, 2016 13:16:52.567390000	0.006515000
566	May 19, 2016 13:16:52.567514000	0.006638000
567	May 19, 2016 13:16:52.567527000	0.006444000
568	May 19, 2016 13:16:52.567529000	0.006398000
569	May 19, 2016 13:16:52.567530000	0.005505000
570	May 19, 2016 13:16:52.570892000	0.006192000
571	May 19, 2016 13:16:52.570989000	0.006289000
572	May 19, 2016 13:16:52.571081000	0.006072000
573	May 19, 2016 13:16:52.571334000	0.005110000
574	May 19, 2016 13:16:52.573290000	
575	May 19, 2016 13:16:52.573291000	
576	May 19, 2016 13:16:52.573463000	
577	May 19, 2016 13:16:52.581761000	0.008471000
578	May 19, 2016 13:16:52.581848000	0.008557000
579	May 19, 2016 13:16:52.581851000	0.008388000
580	May 19, 2016 13:16:52.581750000	
581	May 19, 2016 13:16:52.581846000	
582	May 19, 2016 13:16:52.582056000	
583	May 19, 2016 13:16:52.582057000	
584	May 19, 2016 13:16:52.589036000	0.007286000
585	May 19, 2016 13:16:52.589056000	0.007210000
586	May 19, 2016 13:16:52.589058000	0.007002000
587	May 19, 2016 13:16:52.589059000	0.007002000
588	May 19, 2016 13:16:52.593224000	
589	May 19, 2016 13:16:52.593299000	
590	May 19, 2016 13:16:52.593494000	
591	May 19, 2016 13:16:52.593570000	
592	May 19, 2016 13:16:52.593610000	
593	May 19, 2016 13:16:52.595118000	
594	May 19, 2016 13:16:52.595396000	
595	May 19, 2016 13:16:52.597086000	
596	May 19, 2016 13:16:52.598531000	0.005307000
597	May 19, 2016 13:16:52.598659000	0.005360000
598	May 19, 2016 13:16:52.599301000	0.005807000
599	May 19, 2016 13:16:52.599414000	0.005844000
600	May 19, 2016 13:16:52.602020000	0.006902000
601	May 19, 2016 13:16:52.602117000	0.006721000
602	May 19, 2016 13:16:52.602732000	0.005646000
603	May 19, 2016 13:16:52.605646000	
604	May 19, 2016 13:16:52.610903000	0.005257000
605	May 19, 2016 13:16:52.615357000	
606	May 19, 2016 13:16:52.615494000	
607	May 19, 2016 13:16:52.619080000	
608	May 19, 2016 13:16:52.619081000	
609	May 19, 2016 13:16:52.619543000	
610	May 19, 2016 13:16:52.619543000	
611	May 19, 2016 13:16:52.619698000	
612	May 19, 2016 13:16:52.620606000	
613	May 19, 2016 13:16:52.620783000	
614	May 19, 2016 13:16:52.621395000	0.006038000
